step,reward
0,0.0634
1,0.1142
2,0.0966
3,0.0447
4,0.1258
5,0.0689
6,0.0774
7,0.0942
8,0.0631
9,0.0349
10,0.0657
11,0.0688
12,0.0583
13,0.1387
14,0.0824
15,0.1689
16,0.0882
17,0.1326
18,0.0329
19,0.0896
20,0.1291
21,0.1701
22,0.0907
23,0.1581
24,0.2122
25,0.1763
26,0.1889
27,0.1191
28,0.1017
29,0.1684
30,0.1237
31,0.1514
32,0.1961
33,0.1998
34,0.1296
35,0.1867
36,0.1564
37,0.2088
38,0.1456
39,0.1853
40,0.1703
41,0.2106
42,0.181
43,0.1831
44,0.1506
45,0.2671
46,0.1931
47,0.1825
48,0.2125
49,0.2006
