step,reward
0,0.0454
1,0.0071
2,0.0863
3,0.063
4,0.0854
5,0.0633
6,0.0696
7,0.0971
8,0.0425
9,0.1328
10,0.1748
11,0.1323
12,0.1493
13,0.1295
14,0.1946
15,0.1779
16,0.1538
17,0.0586
18,0.1465
19,0.1756
20,0.2015
21,0.1506
22,0.125
23,0.1889
24,0.2619
25,0.1778
26,0.2033
27,0.2309
28,0.17
29,0.1985
30,0.2429
31,0.2561
32,0.1784
33,0.2004
34,0.2639
35,0.1838
36,0.2086
37,0.1722
38,0.223
39,0.2374
40,0.1988
41,0.2248
42,0.2247
43,0.2098
44,0.1696
45,0.2281
46,0.1769
47,0.2085
48,0.2251
49,0.1869
